company,category,category_source
CHURCHES OF CHRIST CARE,"Aged Care, Disability & Social Services",inferred
CIARON MAHER RACING PTY LTD,"Media, Entertainment & Creative",inferred
Cicada Innovations,"Consulting, Accounting & Professional Services",inferred
Ciena Australia Pty Ltd,Telecommunications,inferred
CIMIC Admin Services Pty Limited,Engineering & Construction,inferred
cimrid pty ltd,Unknown / To Check,unresolved
Cintra Developments Australia Pty Ltd,Real Estate & Property,original
CIPE GROUP PTY LTD,Unknown / To Check,unresolved
CIRCANA (AU) PTY LTD,Marketing & Advertising,inferred
CISA Australia Holdings Pty Ltd,Unknown / To Check,unresolved
Citadel Securities Australia Pty Ltd,Banking & Financial Services,original
CITIC PACIFIC MINING MANAGEMENT PTY LTD,"Mining, Resources & Energy",original
Citigroup Pty Limited,Banking & Financial Services,original
CITIZEN WATCHES AUSTRALIA PTY LTD,Consumer Goods & Retail,inferred
City Beach Hospitality Services Pty Ltd,"Hospitality, Travel & Tourism",original
CITY FERTILITY CENTRE PTY LTD,"Healthcare, Medical & Pharmaceutical",inferred
CITY OF WEST TORRENS,Government & Public Sector,inferred
CITY X-RAY PTY LIMITED,"Healthcare, Medical & Pharmaceutical",inferred
CIVCON CIVIL & PROJECT MANAGEMENT PTY LTD,Engineering & Construction,original
CIVEO PTY LTD,"Hospitality, Travel & Tourism",inferred
Civica Pty Limited,Information Technology & Software,inferred
Civil & allied technical construction PTY LTD,Engineering & Construction,original
CIVIL INFRASTRUCTURE GROUP PTY LTD,Engineering & Construction,original
CIVMEC CONSTRUCTION & ENGINEERING PTY LTD,Engineering & Construction,original
Cleanaway Operations Pty Ltd,Manufacturing & Industrial,inferred
Clemenger Group Limited,Marketing & Advertising,inferred
CLICKVIEW PTY LIMITED,Information Technology & Software,inferred
CLIFFORD CHANCE,Automotive,original
CLIMATECH LABOUR HIRE PTY LTD,"Recruitment, HR & Labour Hire",original
CLINICAL LABORATORIES PTY LTD,"Healthcare, Medical & Pharmaceutical",original
Cloudflare Australia Pty Ltd,Information Technology & Software,inferred
CLOUDSENSE PTY LTD,Information Technology & Software,inferred
Clough Projects Pty Ltd,Engineering & Construction,inferred
CLSA AUSTRALIA SERVICES PTY LTD,Banking & Financial Services,inferred
ClubLlNKS Golf Management Pty Ltd,"Hospitality, Travel & Tourism",inferred
Clyde Creek Primary School,Education - Schools & Training,original
CMC GROUP HOLDINGS PTY LTD,Unknown / To Check,unresolved
CMV TRUCK AND BUS PTY LTD,Automotive,inferred
CNH INDUSTRIAL AUSTRALIA PTY LIMITED,Manufacturing & Industrial,original
CNOOC GAS AND POWER (AUS) INVESTMENT PTY LTD,"Mining, Resources & Energy",original
CO-OPERATIVE BULK HANDLING LIMITED,"Agriculture, Food & Beverage",inferred
COATES HIRE OPERATIONS PTY LIMITED,Engineering & Construction,inferred
COATES SIGNCO PTY LIMITED,Manufacturing & Industrial,inferred
Cobar Management Pty Ltd,"Mining, Resources & Energy",inferred
Coburn Primary School,Education - Schools & Training,original
COCA-COLA EUROPACIFIC PARTNERS API PTY LTD,"Agriculture, Food & Beverage",original
COCA-COLA SOUTH PACIFIC PTY LTD,"Agriculture, Food & Beverage",original
Cochlear Limited,"Healthcare, Medical & Pharmaceutical",original
Cockburn Ice Arena Pty Ltd,"Hospitality, Travel & Tourism",inferred
CODAN LIMITED,Manufacturing & Industrial,inferred
COFCO INTERNATIONAL AUSTRALIA PTY LTD,"Agriculture, Food & Beverage",inferred
COFFS EX-SERVICES MEMORIAL AND SPORTING CLUB LTD,"Hospitality, Travel & Tourism",inferred
COG REGIONAL TEAM PTY LTD,Unknown / To Check,unresolved
Cohort Solutions Pty Ltd,Education - Schools & Training,inferred
COLAC AREA HEALTH,"Healthcare, Medical & Pharmaceutical",original
Cold Logic Pty Ltd,Engineering & Construction,inferred
Coles Supermarkets Australia Pty Ltd,Consumer Goods & Retail,inferred
Colgate Palmolive Pty Ltd,Consumer Goods & Retail,inferred
COLLABORATIVE SOLUTIONS AUSTRALIA PTY LTD,Information Technology & Software,inferred
COLLIER & MILLER PTY LTD,Unknown / To Check,unresolved
Collingwood College,Education - Schools & Training,original
COLLINGWOOD ENGLISH LANGUAGE SCHOOL,Education - Schools & Training,original
COLONIAL FIRST STATE INVESTMENTS LIMITED,Banking & Financial Services,original
Coloplast Pty Ltd,"Healthcare, Medical & Pharmaceutical",inferred
COLUMBIA NURSING HOMES PTY LTD,"Healthcare, Medical & Pharmaceutical",original
COM-AL WINDOWS PTY LTD,Manufacturing & Industrial,inferred
COMACTIVITY PTY. LTD.,Unknown / To Check,unresolved
Comdain Services Pty Ltd,Engineering & Construction,inferred
Comfortdelgro Corporation Australia Pty Ltd,Transport & Logistics,inferred
COMMERCIAL MOTOR INDUSTRIES PTY. LTD.,Manufacturing & Industrial,original
Commonwealth Bank of Australia,Banking & Financial Services,original
Commonwealth Scientific and Industrial Research Organisation,Manufacturing & Industrial,original
COMMSCOPE TECHNOLOGIES AUSTRALIA PTY LTD,Information Technology & Software,original
COMMUNITY IMAGING EMPLOYMENT PTY LIMITED,"Recruitment, HR & Labour Hire",original
Compass Group (Australia) Pty Ltd,"Hospitality, Travel & Tourism",inferred
COMPLETE NURSING AND HOME CARE PTY LTD,"Healthcare, Medical & Pharmaceutical",original
COMPLETE OFFICE SUPPLIES PTY LTD,Consumer Goods & Retail,inferred
COMPUTERSHARE LIMITED,Banking & Financial Services,inferred
CONBRAE PTY LIMITED,Unknown / To Check,unresolved
CONCENTRIX CATALYST PTY LTD,Information Technology & Software,inferred
Concentrix Services Pty.Ltd (Australia),"Consulting, Accounting & Professional Services",inferred
Condor Energy Services Limited,"Mining, Resources & Energy",original
Confeta Pty Ltd,Unknown / To Check,unresolved
Conga Apac Pty Ltd,Information Technology & Software,inferred
CONNELLGRIFFIN PTY LTD,"Consulting, Accounting & Professional Services",inferred
ConocoPhillips Australia Operations Pty Ltd,"Mining, Resources & Energy",inferred
Consolidated Food Company Pty Ltd,"Agriculture, Food & Beverage",original
CONSOLIDATED POWER PROJECTS AUSTRALIA PTY LTD,"Mining, Resources & Energy",original
CONSTEL PTY LTD,Unknown / To Check,unresolved
Construction Sciences Pty Ltd,Engineering & Construction,original
CONTINENTAL KOSHER BUTCHERS PTY LTD,"Agriculture, Food & Beverage",inferred
Continental Tyres of Australia Pty Ltd,Automotive,inferred
CONTITECH AUSTRALIA PTY LTD,Manufacturing & Industrial,inferred
Convert Digital Pty Ltd,Information Technology & Software,original
COOINDA VILLAGE INC.,"Aged Care, Disability & Social Services",inferred
COOPERATIEVE RABOBANK U.A.,Banking & Financial Services,inferred
CORANGAMITE SHIRE COUNCIL,Government & Public Sector,original
CORD NOMINEES PTY LTD,Unknown / To Check,unresolved
"CORDOMA, MARY",Unknown / To Check,unresolved
CORONADO CURRAGH PTY LTD,"Mining, Resources & Energy",inferred
Corporate Culture Pty Ltd,Unknown / To Check,unresolved
CORRYONG HEALTH,"Healthcare, Medical & Pharmaceutical",original
Cortell Australia Pty Ltd,Information Technology & Software,inferred
COSCO SHIPPING LINES (OCEANIA) PTY LTD,Transport & Logistics,original
COSMAX NBT AUSTRALIA PTY LTD,Consumer Goods & Retail,inferred
COSTCO WHOLESALE AUSTRALIA PTY LTD,Consumer Goods & Retail,inferred
COTY AUSTRALIA PTY LTD,Consumer Goods & Retail,inferred
Council of Trustees of the National Gallery ofVictoria,Government & Public Sector,original
Country Road Clothing Pty Ltd,Consumer Goods & Retail,original
COVALENT LITHIUM PTY LTD,"Mining, Resources & Energy",original
COVER GENIUS PTY LTD,Insurance,inferred
Cover-more Insurance Services Pty Ltd,Insurance,original
Cox Architecture Pty Ltd,Architecture & Design,original
CPB Contractors Pty Limited,Engineering & Construction,original
CPPIB Australia Pty Ltd,Banking & Financial Services,inferred
CPSM Pty Ltd,Unknown / To Check,unresolved
CR Kennedy And Company Pty Ltd,Consumer Goods & Retail,inferred
Craigieburn Primary School,Education - Schools & Training,original
Cranbourne Secondary College,Education - Schools & Training,original
CRANBROOK CARE PTY LTD,"Aged Care, Disability & Social Services",inferred
CRANBROOK SCHOOL,Education - Schools & Training,original
Crawford & Company (AUSTRALIA) Pty Ltd,Insurance,original
CREDIT SUISSE MANAGEMENT (AUSTRALIA) PTY LIMITED,Banking & Financial Services,inferred
Creekside K-9 College,Education - Schools & Training,original
CRESCENT CAPITAL PARTNERS MANAGEMENT P/L,Banking & Financial Services,original
Crest Air Conditioning Pty Ltd,Engineering & Construction,inferred
Crone Partners Pty Ltd,Architecture & Design,inferred
CROSSMARK AUSTRALIA PTY LTD,Marketing & Advertising,inferred
CrowdStrike Australia Pty Limited,Information Technology & Software,inferred
Crown Equipment Pty Limited,Manufacturing & Industrial,original
CSE CROSSCOM PTY LTD,Telecommunications,inferred
CSI LIMITED,Unknown / To Check,unresolved
CSL Australia Pty Ltd,"Healthcare, Medical & Pharmaceutical",original
CSR Building Products Limited,Engineering & Construction,original
Cubewise Pty Ltd,Information Technology & Software,inferred
Cubic Transportation Systems (Australia) Pty Ltd,Information Technology & Software,original
Cue Design Pty Ltd.,Consumer Goods & Retail,inferred
Cultural Facilities Corporation,Government & Public Sector,inferred
Culture Amp Pty Ltd,Information Technology & Software,original
CUMI (AUSTRALIA) PTY LIMITED,Manufacturing & Industrial,inferred
Cummins & Partners Pty Ltd,Marketing & Advertising,inferred
CUNDALL JOHNSTON & PARTNERS PTY LTD,Engineering & Construction,inferred
Curae TDS Pty Ltd,Unknown / To Check,unresolved
CURTIN UNIVERSITY,Education - Universities & Higher Ed,original
CUSCAL LIMITED,Banking & Financial Services,inferred
CUSHMAN & WAKEFIELD PTY LTD,Real Estate & Property,inferred
Custom Bus Group Pty Ltd,Automotive,inferred
Cutcher & Neale Pty Limited,"Consulting, Accounting & Professional Services",inferred
CWS SURVEYORS PTY LTD,Engineering & Construction,inferred
CX LAVENDER PTY LTD,Architecture & Design,inferred
CyberCX Pty Ltd,Information Technology & Software,inferred
Cyient Australia Pty Ltd,Information Technology & Software,inferred
D.E COFFEE & TEA AUSTRALIA PTY. LTD,"Agriculture, Food & Beverage",inferred
D.T GILBERT & S NICKLESS & W.R SPAIN,Unknown / To Check,unresolved
D.V.R. ENGINEERING PTY. LTD,Engineering & Construction,original
D2L AUSTRALIA PTY LTD,Information Technology & Software,inferred
Dacian Gold Limited,"Mining, Resources & Energy",original
Daikin Australia Pty Ltd,Manufacturing & Industrial,inferred
Daily Press Pty Ltd,Unknown / To Check,unresolved
DAILYMAIL.COM AUSTRALIA PTY LTD,"Media, Entertainment & Creative",inferred
DAIMLER TRUCK AUSTRALIA PACIFIC PTY LTD,Automotive,inferred
DAIRY AUSTRALIA LIMITED,"Agriculture, Food & Beverage",original
Daisho Development Sydney Pty Ltd,Real Estate & Property,original
DAIWA CAPITAL MARKETS AUSTRALIA LIMITED,Banking & Financial Services,original
Daiwa House Australia Pty Ltd,Real Estate & Property,inferred
DALWALLINI_J CONCRETE PTY LTD,Engineering & Construction,original
Dana Australia Pty Ltd,Automotive,inferred
DANDENONG HIGH SCHOOL,Education - Schools & Training,original
DARLINGFORD UPPER GOULBURN NURSING HOME,Automotive,original
Dassault Systemes Australia Pty Ltd,Information Technology & Software,inferred
Data#3 Limited,Information Technology & Software,original
Databricks Australia Pty Ltd,Information Technology & Software,inferred
DATACOM SYSTEMS (AU) PTY LTD,Information Technology & Software,original
Datamine Australia Pty Ltd,Information Technology & Software,inferred
DAVEY MOTOR COMPANY PTY LTD,Automotive,inferred
Davey Water Products Pty Ltd,Manufacturing & Industrial,inferred
David Hayes Holdings Pty Ltd,"Media, Entertainment & Creative",inferred
DAVID JONES PTY LIMITED,Consumer Goods & Retail,inferred
DAVID WOOD & ASSOCIATES PTY LTD,Unknown / To Check,unresolved
Davidson Group Services Pty Ltd,"Recruitment, HR & Labour Hire",inferred
Davis Creek Primary School,Education - Schools & Training,original
DAYFORCE AUSTRALIA PTY LTD,Information Technology & Software,inferred
DB RESULTS PTY LTD,Information Technology & Software,inferred
DCFM Australia Pty Ltd,Unknown / To Check,unresolved
DCWC SERVICES PTY. LTD.,Unknown / To Check,unresolved
DDB Sydney Pty Limited,Marketing & Advertising,inferred
DDLS Australia Pty Ltd,Education - Schools & Training,inferred
Deadly Community Connections Pty Ltd,"Aged Care, Disability & Social Services",inferred
Deakin University,Education - Universities & Higher Ed,original
Decathlon Australia Pty Ltd,Consumer Goods & Retail,inferred
Decision Inc Australia Pty Ltd,Information Technology & Software,inferred
Decmil Australia Pty Ltd,Engineering & Construction,inferred
DEEMAH STONE PTY LIMITED,Manufacturing & Industrial,inferred
DEEPEND SYDNEY PTY LIMITED,Marketing & Advertising,inferred
DEER PARK NORTH PRIMARY SCHOOL,Education - Schools & Training,original
DEK CORPORATION PTY LTD,Unknown / To Check,unresolved
Delaware North Companies Australia Pty Ltd,"Hospitality, Travel & Tourism",inferred
DELBEST PTY LTD,Unknown / To Check,unresolved
Delivery Centric Technology Services Pty Ltd,Information Technology & Software,inferred
DELL AUSTRALIA PTY LIMITED,Information Technology & Software,original
DELOITTE SERVICES PTY LTD,"Consulting, Accounting & Professional Services",original
Deloraine and Westbury Medical Pty Ltd,"Healthcare, Medical & Pharmaceutical",original
DELTA PTY. LTD.,Unknown / To Check,unresolved
Delve Underground Limited,Engineering & Construction,inferred
Dematic Pty Ltd,Manufacturing & Industrial,inferred
DEMENTIA & ALZHEIMER'S AUSTRALIA LTD,"Religious, Charitable & Non-profit",inferred
DENSO AUTOMOTIVE SYSTEMS AUSTRALIA PTY LTD,Information Technology & Software,original
Dental Corporation Pty Ltd,"Healthcare, Medical & Pharmaceutical",original
Dental Health services Victoria,"Healthcare, Medical & Pharmaceutical",original
Dentalife Australia Pty Ltd,"Healthcare, Medical & Pharmaceutical",inferred
Denton Corker Marshall Pty Ltd,Architecture & Design,inferred
DENTSU CORPORATE SERVICES LTD,Marketing & Advertising,inferred
DEPARTMENT FOR EDUCATION,Education - Schools & Training,original
"Department for Education, Children and Young People",Education - Schools & Training,original
DEPARTMENT FOR HEALTH AND WELLBEING,"Healthcare, Medical & Pharmaceutical",original
DEPARTMENT OF AGRICULTURE AND FISHERIES,"Agriculture, Food & Beverage",original
DEPARTMENT OF BIODIVERSITY CONSERVATION AND ATTRACTIONS,Government & Public Sector,original
DEPARTMENT OF COMMUNITIES,Government & Public Sector,original
DEPARTMENT OF CUSTOMER SERVICE,Government & Public Sector,original
DEPARTMENT OF EDUCATION,Education - Schools & Training,original
Department of Education and Training,Education - Schools & Training,original
DEPARTMENT OF ENERGY ENVIRONMENT AND CLIMATE ACTION,"Mining, Resources & Energy",original
Department of Health QId,"Healthcare, Medical & Pharmaceutical",original
"DEPARTMENT OF JOBS, SKILLS, INDUSTRY AND REGIONS",Government & Public Sector,original
DEPARTMENT OF JUSTICE,Government & Public Sector,original
"Department of Mines, Industry Regulation and Safety",Government & Public Sector,original
DEPARTMENT OF PLANNING AND ENVIRONMENT,Government & Public Sector,original
Department of Premier and Cabinet,Government & Public Sector,original
Department of Primary Industries and Regional Development,Real Estate & Property,original
Department of Primary Industries and Regions,Manufacturing & Industrial,original
"Department of State Growth, BUSINESS AND TRADE TASMANIA",Government & Public Sector,original
Department of Tourism Innovation and Sport (Sport and Recreation),"Hospitality, Travel & Tourism",original
Department of Transport & Planning,Transport & Logistics,original
DEPARTMENT OF TREASURY & FINANCE SA,Banking & Financial Services,original
DEPT Digital Product Holdings Pty Ltd,Information Technology & Software,original
Deputec Pty Ltd,Unknown / To Check,unresolved
DERIVCO AUSTRALIA PTY LTD,Information Technology & Software,inferred
DERRIMUTROADCLINIC PTY LTD,"Healthcare, Medical & Pharmaceutical",inferred
Deswik Mining Consultants (Australia) Pty Ltd,"Mining, Resources & Energy",original
DEUTSCHE AUSTRALIA LIMITED,Banking & Financial Services,inferred
Dext Australia Pty Ltd,Information Technology & Software,inferred
Dhelkaya Health,"Healthcare, Medical & Pharmaceutical",original
DHI WATER AND ENVIRONMENT PTY LTD,Engineering & Construction,inferred
DHL Express ( Australia) Pty Ltd,Transport & Logistics,inferred
DHL SUPPLY CHAIN (AUSTRALIA) PTY LIMITED,Transport & Logistics,original
DIAGEO AUSTRALIA LIMITED,"Agriculture, Food & Beverage",inferred
DIAGNOSTICA STAGO PTY LTD,"Healthcare, Medical & Pharmaceutical",inferred
Dialog Pty Ltd,Information Technology & Software,inferred
Dialysis Australia Pty Ltd,"Healthcare, Medical & Pharmaceutical",inferred
Diamond Beach Holdings Pty Ltd,Unknown / To Check,unresolved
DIAMOND OFFSHORE GENERAL LLC,"Mining, Resources & Energy",inferred
Dicker Data Limited,Information Technology & Software,original
Diebold Nixdorf Australia Pty Limited,Information Technology & Software,inferred
DIGITAL ALCHEMY (AUSTRALIA) PTY LTD,Information Technology & Software,original
DIONA PTY LTD,Engineering & Construction,inferred
Discovery Holiday Parks Pty Limited,"Hospitality, Travel & Tourism",inferred
DISPLAYR AUSTRALIA PTY LIMITED,Information Technology & Software,original
DIUS COMPUTING PTY LTD,Information Technology & Software,original
DM Drainage & Constructions Pty Ltd,Engineering & Construction,inferred
DMB Fluid Technologies Pty Ltd,Information Technology & Software,original
DNV AUSTRALIA PTY LIMITED,"Consulting, Accounting & Professional Services",inferred
DOCUSIGN INTERNATIONAL INC,Information Technology & Software,inferred
DOF AUSTRALIA PTY LTD,"Mining, Resources & Energy",inferred
DOF Management Australia Pty Ltd,"Mining, Resources & Energy",inferred
Dohertys Creek P-9 College,Education - Schools & Training,original
Doka Formwork Australia Pty Ltd,Engineering & Construction,inferred
Dolby Australia Pty Limited,Information Technology & Software,inferred
Domain Holdings Australia Limited,Real Estate & Property,inferred
Domestic Roofing Pty Ltd,Engineering & Construction,inferred
Doncaster Primary School,Education - Schools & Training,original
DOORDASH TECHNOLOGIES AUSTRALIA PTY LTD,Information Technology & Software,original
Dorel Australia Pty Ltd,Consumer Goods & Retail,inferred
DORMAKABA AUSTRALIA PTY LTD,Manufacturing & Industrial,inferred
Doveton College,Education - Schools & Training,original
Down Under Enterprises International Pty Ltd,"Agriculture, Food & Beverage",inferred
DOWNER EDI ENGINEERING POWER PTY LTD,"Mining, Resources & Energy",original
Downies Coins Pty Ltd,Consumer Goods & Retail,inferred
DOWNLANDS COLLEGE,Education - Schools & Training,original
Dowsing Group Pty Ltd,Engineering & Construction,inferred
DPG SERVICES PTY LTD,Unknown / To Check,unresolved
DR MEDICAL SERVICES CAIRNS PTY LTD,"Healthcare, Medical & Pharmaceutical",original
DR RODNEY SINCLAIR PTY LTD,"Healthcare, Medical & Pharmaceutical",inferred
DR. OETKER QUEEN AUSTRALIA PTY LTD.,"Agriculture, Food & Beverage",inferred
DRA Pacific Pty Ltd,Engineering & Construction,inferred
DRAEGER AUSTRALIA PTY LTD,Manufacturing & Industrial,inferred
Driveline Services Australia Pty Ltd,Automotive,inferred
Dromana Secondary College,Education - Schools & Training,original
Dropbox Australia Pty Ltd,Information Technology & Software,inferred
DSV AIR AND SEA PTY LTD,Transport & Logistics,inferred
DSV SOLUTIONS PTY LTD,Transport & Logistics,inferred
DUAL AUSTRALIA PTY LTD,Insurance,inferred
DUG TECHNOLOGY(AUSTRALIA) PTY LTD,Information Technology & Software,inferred
DULUXGROUP (AUSTRALIA) PTY LTD,Manufacturing & Industrial,inferred
DUNKELD PASTORAL CO. PTY LTD,"Agriculture, Food & Beverage",original
DuPont Memcor (Australia) Pty Ltd,Manufacturing & Industrial,inferred
Durkin Construction Pty Ltd,Engineering & Construction,original
DUX MANUFACTURING LTD,Manufacturing & Industrial,original
Duxton Capital (Australia) Pty Ltd,Banking & Financial Services,original
DXC TECHNOLOGY AUSTRALIA PTY LIMITED,Information Technology & Software,inferred
DYNATA GLOBAL AU PTY LTD,Marketing & Advertising,inferred
DYNATRACE ASIA-PACIFIC PTY LTD,Information Technology & Software,inferred
Dyson Appliances (Aust.) Pty Limited,Consumer Goods & Retail,inferred
DYVEST HEALTHCARE PTY LTD,"Healthcare, Medical & Pharmaceutical",original
E GROUP HOLDINGS PTY LTD,Unknown / To Check,unresolved
E-Prim Pty Ltd,Unknown / To Check,unresolved
Eagers Automotive Limited,Automotive,inferred
Eagle Direct PTY Ltd,Unknown / To Check,unresolved
EAR SCIENCE INSTITUTE AUSTRALIA INCORPORATED,"Healthcare, Medical & Pharmaceutical",inferred
East Automotive Pty Ltd,Automotive,inferred
EAST GRAMPIANS HEALTH SERVICE,"Healthcare, Medical & Pharmaceutical",original
East Sydney Day Hospital Pty Ltd,"Healthcare, Medical & Pharmaceutical",original
East Wimmera Health Service,"Healthcare, Medical & Pharmaceutical",original
EASTERN HEALTH,"Healthcare, Medical & Pharmaceutical",original
EASTERN SUBURBS DISTRICT RUGBY LEAGUE FOOTBALL CLUB LIMITED,"Media, Entertainment & Creative",inferred
Eastern Suburbs Montessori Association Limited,Education - Schools & Training,original
EASY LIVING HOME ELEVATORS PTY LIMITED,Manufacturing & Industrial,inferred
Eaton Electrical (Australia) Pty Ltd,Manufacturing & Industrial,inferred
Eaton Industries Pty Ltd,Manufacturing & Industrial,original
eBay Australia and New Zealand Pty Ltd,Consumer Goods & Retail,inferred
Ebiquity Pty Limited,Marketing & Advertising,inferred
EBSTAR PTY. LTD.,Unknown / To Check,unresolved
ECB PTY LTD,Unknown / To Check,unresolved
ECHUCA REGIONAL HEALTH,"Healthcare, Medical & Pharmaceutical",original
Ecolab Pty Ltd,Manufacturing & Industrial,inferred
ECOTECH PTY. LTD.,Manufacturing & Industrial,inferred
ECU WORLDWIDE AUSTRALIA PTY LTD,Transport & Logistics,original
EDELMAN AUSTRALIA PTY LTD,Marketing & Advertising,inferred
Eden Ritchie Recruitment Pty Ltd,"Recruitment, HR & Labour Hire",original
Edencraft International Pty Ltd,Manufacturing & Industrial,inferred
Edith Cowan University,Education - Universities & Higher Ed,original
EDWARDS AND CO CROWN STREET PTY LTD,Consumer Goods & Retail,inferred
Edwards Lifesciences Pty Ltd,"Healthcare, Medical & Pharmaceutical",inferred
EGIS OCEANIA PTY LTD,Engineering & Construction,inferred
Eighty9 Limited,Unknown / To Check,unresolved
Eire Constructions Pty Ltd,Engineering & Construction,inferred
Ektimo Pty Ltd,"Consulting, Accounting & Professional Services",inferred
ELABOR8 PTY LTD,Information Technology & Software,inferred
Elanora Country Club,"Hospitality, Travel & Tourism",inferred
Elasticsearch Pty Ltd,Information Technology & Software,inferred
ELBIT SYSTEM OF AUSTRALIA PTY LTD,Defence & Aerospace,inferred
Elecdata Australia Pty Ltd,Information Technology & Software,inferred
ELECNOR AUSTRALIA PTY LTD,Engineering & Construction,inferred
ELECTRANET PTY LTD,"Mining, Resources & Energy",inferred
ELECTRIC POWER DEVELOPMENT CO LTD,"Mining, Resources & Energy",original
ELECTRICITY GENERATION AND RETAIL CORPORATION,"Mining, Resources & Energy",original
Electricity Networks Corporation,"Mining, Resources & Energy",original
Electrix Pty. Ltd,Engineering & Construction,inferred
Electro Optic Systems Pty Limited,Defence & Aerospace,original
Electronic Arts Pty Ltd,"Media, Entertainment & Creative",inferred
Elekta Pty Ltd,"Healthcare, Medical & Pharmaceutical",inferred
Elenberg Fraser Pty Ltd,Architecture & Design,inferred
Elevation Secondary College,Education - Schools & Training,original
ELEXON MINING PTY LTD,"Mining, Resources & Energy",original
ELI LILLY AUSTRALIA PTY LTD,"Healthcare, Medical & Pharmaceutical",inferred
Elite Education Institute Pty Ltd,Education - Schools & Training,original
ELLUCIAN AUSTRALIA PTY LIMITED,Information Technology & Software,inferred
ELMO Software Pty Ltd,Information Technology & Software,original
ELSDON PTY LTD,Unknown / To Check,unresolved
EMACS Electric MOTORS PTY LTD,Manufacturing & Industrial,inferred
Emanuel School,Education - Schools & Training,original
Emarsys Pty Ltd,Information Technology & Software,inferred
EMEIS COSMETICS PTY LTD,Consumer Goods & Retail,original
Emerald Secondary College,Education - Schools & Training,original
eMerge IT Solutions Pty Ltd,Information Technology & Software,original
Emerson Process Management Australia Pty Ltd,Manufacturing & Industrial,inferred
Emirates Leisure Retail (Australia) Pty Ltd,Consumer Goods & Retail,original
EMPLOYERS MUTUAL MANAGEMENT PTY LTD,Insurance,original
EMPLOYMENT INNOVATIONS GROUP PTY LTD,"Recruitment, HR & Labour Hire",original
ENABLE PROFESSIONAL SERVICES PTY LTD,"Consulting, Accounting & Professional Services",original
Enaex Australia Pty Ltd,"Mining, Resources & Energy",inferred
Encore Event Technologies Group Pty Limited,Information Technology & Software,original
ENCORE TISSUE (AUS) PTY LTD,Manufacturing & Industrial,inferred
ENDEAVOUR GROUP LIMITED,Consumer Goods & Retail,inferred
ENDRESS AND HAUSER AUSTRALIA PTY LIMITED,Manufacturing & Industrial,inferred
ENE-OS AUSTRALIA PTY LTD,"Mining, Resources & Energy",inferred
ENE-RFLEX SERVICE PTY LIMITED,"Mining, Resources & Energy",inferred
ENE-TT SERVICES (AUSTRALIA) PTY LTD,Banking & Financial Services,inferred
ENEL X AUSTRALIA PTY LTD,"Mining, Resources & Energy",inferred
ENERGY ONE LIMITED,"Mining, Resources & Energy",original
Energy Queensland Limited,"Mining, Resources & Energy",original
ENERGYAUSTRALIA SERVICES PTY LTD,"Mining, Resources & Energy",inferred
EnerMech Pty Ltd,"Mining, Resources & Energy",inferred
EnerSys Australia Pty Ltd,Manufacturing & Industrial,inferred
Engineering Setout Pty Ltd,Engineering & Construction,original
Eni Australia Ltd,"Mining, Resources & Energy",inferred
ENI Industries Pty Ltd,Manufacturing & Industrial,original
Ensco Australia Pty Limited,"Mining, Resources & Energy",inferred
Ensign (Australia) Holdings Pty Ltd,Unknown / To Check,unresolved
Enspan Design Pty Ltd,Engineering & Construction,inferred
Enstruct Group pty ltd,Engineering & Construction,inferred
ENSURE RECRUITMENT PTY LIMITED,"Recruitment, HR & Labour Hire",original
ENTERPRISE WIDE PTY. LTD.,Unknown / To Check,unresolved
ENTRUST SOUTH PACIFIC PTY LTD,Unknown / To Check,unresolved
ENVIROPACIFIC SERVICES PTY LTD,Engineering & Construction,inferred
EONX SERVICES PTY LTD,Information Technology & Software,inferred
EPAM SYSTEMS (AUSTRALIA) PTY LTD,Information Technology & Software,original
EPI-USE AUSTRALIA PTY LTD,Information Technology & Software,inferred
Epic Environmental Pty Ltd,Engineering & Construction,inferred
Epicon IT Solutions Pty Ltd,Information Technology & Software,original
EPIROC AUSTRALIA PTY LTD,Manufacturing & Industrial,inferred
Epoch Capital Pty Ltd,Banking & Financial Services,original
EPSA Pacific Pty Ltd,Unknown / To Check,unresolved
EPTEC Pty Ltd,Engineering & Construction,inferred
EPWORTH FOUNDATION,"Religious, Charitable & Non-profit",original
Equanimity Consultants Pty Ltd,"Consulting, Accounting & Professional Services",original
Equifax Australasia Group Services Pty Limited,Banking & Financial Services,inferred
Equinix Australia Pty Limited,Information Technology & Software,inferred
Equipping for Life Ltd,"Religious, Charitable & Non-profit",inferred
ERA Energy Services Pty Ltd,"Mining, Resources & Energy",original
ERG Administration Pty Ltd,Unknown / To Check,unresolved
ERICSSON AUSTRALIA PTY LTD,Telecommunications,inferred
ERNST & YOUNG SERVICES PTY LIMITED,"Consulting, Accounting & Professional Services",original
ESRl-Australia Pty Ltd,Information Technology & Software,inferred
ESSENTIAL ENERGY,"Mining, Resources & Energy",original
ESSILOR AUSTRALIA PTY LTD,"Healthcare, Medical & Pharmaceutical",inferred
ESSO AUSTRALIA PTY LTD,"Mining, Resources & Energy",inferred
Estee Lauder Pty. Limited,Consumer Goods & Retail,inferred
ESTIA INVESTMENTS PTY. LTD.,Banking & Financial Services,original
ETEX AUSTRALIA PTY LTD,Manufacturing & Industrial,inferred
ETHOS URBAN PTY LTD,"Consulting, Accounting & Professional Services",original
EVENTBRITE AU PTY LTD,Information Technology & Software,inferred
